2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:07:46,989 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:46,995 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "initd"' failed. The error was: error while evaluating conditional (desired_start_method == "initd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 79, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:07:46,996 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:47,030 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "initd"' failed. The error was: error while evaluating conditional (desired_start_method == "initd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 79, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:07:47,030 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:47,051 p=54832 u=root n=ansible | TASK [splunk : Check if Splunk is installed] ****************************************************************************************************************************************
2025-04-09 04:07:47,530 p=54832 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:07:47,535 p=54832 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:07:47,540 p=54832 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:07:47,541 p=54832 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:07:47,563 p=54832 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] *****************************************************************************************************************
2025-04-09 04:07:47,630 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:47,663 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:47,673 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:47,704 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:47,724 p=54832 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] **************************************************************************************************
2025-04-09 04:07:47,793 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:47,825 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:47,833 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:47,868 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:47,889 p=54832 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] *************************************************************************************************************************
2025-04-09 04:07:47,954 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:47,990 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:47,996 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:48,031 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:48,052 p=54832 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] **********************************************************************************************************
2025-04-09 04:07:48,118 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:48,149 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:48,160 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:48,193 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:48,214 p=54832 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ******************************************************************************************************
2025-04-09 04:07:48,282 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:48,315 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:48,323 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:48,357 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:48,378 p=54832 u=root n=ansible | TASK [splunk : Set boot-start misconfigured var] ************************************************************************************************************************************
2025-04-09 04:07:48,447 p=54832 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:07:48,479 p=54832 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:07:48,496 p=54832 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:07:48,529 p=54832 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:07:48,553 p=54832 u=root n=ansible | TASK [splunk : Fail the play if the currently configured boot-start method does match the expected state or boot-start is not enabled] **********************************************
2025-04-09 04:07:48,618 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:48,700 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:48,702 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:48,743 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:48,764 p=54832 u=root n=ansible | TASK [splunk : Include the specified task file] *************************************************************************************************************************************
2025-04-09 04:07:49,044 p=54832 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:07:49,079 p=54832 u=root n=ansible | TASK [splunk : ansible.builtin.include_tasks] ***************************************************************************************************************************************
2025-04-09 04:07:49,294 p=54832 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:07:49,331 p=54832 u=root n=ansible | TASK [Stop splunk] ******************************************************************************************************************************************************************
2025-04-09 04:07:49,372 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:07:49,373 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,406 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:07:49,406 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,439 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:07:49,440 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,453 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:07:49,453 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,477 p=54832 u=root n=ansible | TASK [splunk : Disable boot-start] **************************************************************************************************************************************************
2025-04-09 04:07:49,886 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:07:49,887 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,894 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:07:49,895 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,897 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:07:49,897 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,902 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:07:49,903 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:49,924 p=54832 u=root n=ansible | TASK [Remove splunk folder] *********************************************************************************************************************************************************
2025-04-09 04:07:50,391 p=54832 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:07:50,404 p=54832 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:07:50,406 p=54832 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:07:50,407 p=54832 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:07:50,428 p=54832 u=root n=ansible | TASK [Remove splunk service drop-in directory] **************************************************************************************************************************************
2025-04-09 04:07:50,468 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:07:50,468 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:50,503 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:07:50,503 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:50,536 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:07:50,536 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:50,550 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:07:50,550 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:50,572 p=54832 u=root n=ansible | TASK [Remove nix splunk user] *******************************************************************************************************************************************************
2025-04-09 04:07:51,114 p=54832 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:07:51,130 p=54832 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:07:51,131 p=54832 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:07:51,135 p=54832 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:07:51,156 p=54832 u=root n=ansible | TASK [Remove nix splunk group] ******************************************************************************************************************************************************
2025-04-09 04:07:51,629 p=54832 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:07:51,639 p=54832 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:07:51,643 p=54832 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:07:51,646 p=54832 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:07:51,668 p=54832 u=root n=ansible | TASK [splunk : Remove disable-thp service to systemd (CentOS/RHEL 7+)] **************************************************************************************************************
2025-04-09 04:07:51,998 p=54832 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:07:52,016 p=54832 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:07:52,103 p=54832 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:07:52,141 p=54832 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:07:52,163 p=54832 u=root n=ansible | TASK [splunk : Remove ulimits] ******************************************************************************************************************************************************
2025-04-09 04:07:52,201 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:07:52,202 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,235 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:07:52,236 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,269 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:07:52,270 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,284 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:07:52,285 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,306 p=54832 u=root n=ansible | TASK [Remove splunk firewalld service] **********************************************************************************************************************************************
2025-04-09 04:07:52,375 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:52,408 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:52,409 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:52,426 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:52,447 p=54832 u=root n=ansible | TASK [splunk : Remove firewalld service] ********************************************************************************************************************************************
2025-04-09 04:07:52,514 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:52,545 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:52,546 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:52,572 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:52,592 p=54832 u=root n=ansible | TASK [splunk : Remove UFW ports] ****************************************************************************************************************************************************
2025-04-09 04:07:52,662 p=54832 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:07:52,695 p=54832 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:07:52,696 p=54832 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:07:52,721 p=54832 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:07:52,742 p=54832 u=root n=ansible | TASK [splunk : Remove setfacl to logrotate script] **********************************************************************************************************************************
2025-04-09 04:07:52,783 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 97, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
      block:
        - name: Remove setfacl to logrotate script
          ^ here
2025-04-09 04:07:52,783 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,817 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 97, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
      block:
        - name: Remove setfacl to logrotate script
          ^ here
2025-04-09 04:07:52,817 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,851 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 97, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
      block:
        - name: Remove setfacl to logrotate script
          ^ here
2025-04-09 04:07:52,852 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,866 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 97, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
      block:
        - name: Remove setfacl to logrotate script
          ^ here
2025-04-09 04:07:52,867 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,888 p=54832 u=root n=ansible | TASK [splunk : Check if auditd.conf is present] *************************************************************************************************************************************
2025-04-09 04:07:52,926 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 104, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Check if auditd.conf is present
          ^ here
2025-04-09 04:07:52,927 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,959 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 104, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Check if auditd.conf is present
          ^ here
2025-04-09 04:07:52,960 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:52,994 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 104, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Check if auditd.conf is present
          ^ here
2025-04-09 04:07:52,995 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:53,009 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 104, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Check if auditd.conf is present
          ^ here
2025-04-09 04:07:53,010 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:53,031 p=54832 u=root n=ansible | TASK [splunk : Remove line from /var/log/audit.log] *********************************************************************************************************************************
2025-04-09 04:07:53,071 p=54832 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 110, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove line from /var/log/audit.log
          ^ here
2025-04-09 04:07:53,072 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:53,105 p=54832 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 110, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove line from /var/log/audit.log
          ^ here
2025-04-09 04:07:53,105 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:53,138 p=54832 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 110, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove line from /var/log/audit.log
          ^ here
2025-04-09 04:07:53,139 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:53,153 p=54832 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'not least_privileged' failed. The error was: error while evaluating conditional (not least_privileged): 'least_privileged' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 110, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove line from /var/log/audit.log
          ^ here
2025-04-09 04:07:53,153 p=54832 u=root n=ansible | ...ignoring
2025-04-09 04:07:53,157 p=54832 u=root n=ansible | PLAY RECAP **************************************************************************************************************************************************************************
2025-04-09 04:07:53,158 p=54832 u=root n=ansible | rh8-ds-1                   : ok=26   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=12  
2025-04-09 04:07:53,158 p=54832 u=root n=ansible | rh8-idx-1                  : ok=23   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=12  
2025-04-09 04:07:53,158 p=54832 u=root n=ansible | rh8-idx-2                  : ok=23   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=12  
2025-04-09 04:07:53,159 p=54832 u=root n=ansible | rh8-sh-1                   : ok=23   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=12  
2025-04-09 04:08:23,575 p=55355 u=root n=ansible | PLAY [Remove Splunk Installation Playbook] ******************************************************************************************************************************************
2025-04-09 04:08:23,615 p=55355 u=root n=ansible | TASK [Warning 1: This will completely remove Splunk from the target systems.] *******************************************************************************************************
2025-04-09 04:08:23,634 p=55375 u=root n=ansible | [Warning 1: This will completely remove Splunk from the target systems.]
WARNING 1: Are you sure you want to proceed? (yes/no):
2025-04-09 04:08:25,450 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:25,470 p=55355 u=root n=ansible | TASK [Warning 2: All Splunk data and configurations will be deleted.] ***************************************************************************************************************
2025-04-09 04:08:25,489 p=55388 u=root n=ansible | [Warning 2: All Splunk data and configurations will be deleted.]
WARNING 2: Do you understand the implications? (yes/no):
2025-04-09 04:08:25,656 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:25,677 p=55355 u=root n=ansible | TASK [Warning 3: This action is irreversible. Proceed with caution.] ****************************************************************************************************************
2025-04-09 04:08:25,695 p=55390 u=root n=ansible | [Warning 3: This action is irreversible. Proceed with caution.]
WARNING 3: Confirm to continue with the uninstallation. (yes/no):
2025-04-09 04:08:25,834 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:25,860 p=55355 u=root n=ansible | TASK [Remove Splunk] ****************************************************************************************************************************************************************
2025-04-09 04:08:26,253 p=55355 u=root n=ansible | TASK [splunk : Include prerequisites] ***********************************************************************************************************************************************
2025-04-09 04:08:26,460 p=55355 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/prereqs.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:08:26,490 p=55355 u=root n=ansible | TASK [splunk : install acl package] *************************************************************************************************************************************************
2025-04-09 04:08:37,534 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:37,998 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:38,085 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:38,173 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:38,195 p=55355 u=root n=ansible | TASK [Reset value of start_splunk_handler_fired and configure_boot_start] ***********************************************************************************************************
2025-04-09 04:08:38,231 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:38,262 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:38,294 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:38,310 p=55355 u=root n=ansible | ok: [rh8-idx-2]
